restriction_set,shock,variable,h,q16,q50,q84
baseline,real_yield,gold,42,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,43,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,44,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,45,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,46,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,47,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,48,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,49,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,50,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,51,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,52,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,53,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,54,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,55,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,56,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,57,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,58,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,59,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,real_yield,gold,60,-0.00840868057659956,-0.005503090729161258,-0.002828551336047599
baseline,risk_aversion,real_yield,0,-0.03684503372533737,-0.02121978718245206,-0.00792483465012277
baseline,risk_aversion,real_yield,1,-0.03744852675463601,-0.018928023039559254,-0.00567462330267671
baseline,risk_aversion,real_yield,2,-0.037610125603464835,-0.01927054724806651,-0.0058690910677542335
baseline,risk_aversion,real_yield,3,-0.0375919512290643,-0.019212978746529573,-0.005822280039030764
baseline,risk_aversion,real_yield,4,-0.03759621079709503,-0.019221299280489386,-0.0058291756747555455
baseline,risk_aversion,real_yield,5,-0.037595403274289826,-0.01921997954389569,-0.005828211446511064
baseline,risk_aversion,real_yield,6,-0.0375955601580473,-0.01922020595102033,-0.005828344107329055
baseline,risk_aversion,real_yield,7,-0.03759552986364245,-0.019220168619241543,-0.005828326069961189
baseline,risk_aversion,real_yield,8,-0.037595535740963984,-0.01922017490787589,-0.0058283285070563915
baseline,risk_aversion,real_yield,9,-0.037595534599482616,-0.01922017385907724,-0.005828328179069341
baseline,risk_aversion,real_yield,10,-0.0375955348214075,-0.01922017403509573,-0.005828328223111474
baseline,risk_aversion,real_yield,11,-0.037595534778234595,-0.019220174005616902,-0.005828328217205503
baseline,risk_aversion,real_yield,12,-0.037595534786637776,-0.019220174010565073,-0.005828328217996879
baseline,risk_aversion,real_yield,13,-0.03759553478500152,-0.019220174009734477,-0.005828328217890883
baseline,risk_aversion,real_yield,14,-0.03759553478532023,-0.019220174009874066,-0.005828328217905077
baseline,risk_aversion,real_yield,15,-0.03759553478525814,-0.019220174009850592,-0.005828328217903176
baseline,risk_aversion,real_yield,16,-0.03759553478527024,-0.019220174009854547,-0.00582832821790343
baseline,risk_aversion,real_yield,17,-0.03759553478526788,-0.01922017400985388,-0.0058283282179033965
baseline,risk_aversion,real_yield,18,-0.03759553478526834,-0.019220174009853992,-0.005828328217903401
baseline,risk_aversion,real_yield,19,-0.03759553478526825,-0.019220174009853975,-0.0058283282179034
baseline,risk_aversion,real_yield,20,-0.037595534785268274,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,21,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,22,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,23,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,24,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
baseline,risk_aversion,real_yield,25,-0.03759553478526827,-0.01922017400985398,-0.0058283282179034
