cluster_id,ticker,horizon,n,mean,std,hit_rate
1,PALL,20,671,-0.02646909271415461,0.0860713373411484,0.35767511177347244
1,PALL,60,671,-0.0789182202273372,0.12111521611880009,0.2608047690014903
1,PL=F,1,679,0.00024378566962629563,0.01846817160821398,0.5125184094256259
1,PL=F,5,678,-6.685982338909378e-05,0.041481027519212586,0.5014749262536873
1,PL=F,20,673,0.0011019480374376734,0.06887323799332543,0.5334323922734027
1,PL=F,60,673,0.0011272782422130758,0.09297938252077882,0.4903417533432392
1,PPLT,1,678,0.0001183713611769413,0.01715702810373012,0.4837758112094395
1,PPLT,5,676,-0.00029789076341574466,0.03820821390778207,0.5059171597633136
1,PPLT,20,671,0.0002447191939754513,0.06551431433810515,0.5290611028315947
1,PPLT,60,671,-0.0008373651443012138,0.08702063231568694,0.46646795827123694
1,SI=F,1,679,0.0007250653474630438,0.01966608613514353,0.5184094256259205
1,SI=F,5,678,0.002193686480140446,0.043691711418676976,0.5103244837758112
1,SI=F,20,673,0.010828153234398726,0.08189206019299766,0.5601783060921248
1,SI=F,60,673,0.023314247330223914,0.1222190547278525,0.5512630014858841
1,SLV,1,678,0.0005510938160948955,0.018813680286882482,0.5029498525073747
1,SLV,5,676,0.002040014605579467,0.042409496375345315,0.5044378698224852
1,SLV,20,671,0.010594912737452158,0.08121536470535723,0.563338301043219
1,SLV,60,671,0.022151359559376707,0.12075397174882639,0.5484351713859911
1,^GSPC,1,678,0.00035608202828784957,0.010938263498200236,0.5132743362831859
1,^GSPC,5,676,0.0012271402780899957,0.023796537370107854,0.5502958579881657
1,^GSPC,20,671,0.006982329216183646,0.04456607678959883,0.6304023845007451
1,^GSPC,60,671,0.020355932165636283,0.0665682438975209,0.7093889716840537
1,^VIX,1,678,0.00022543140839690262,0.06613366995306279,0.4410029498525074
1,^VIX,5,676,0.0030680080022739793,0.1352594367113034,0.45857988165680474
1,^VIX,20,671,-0.015096834612787923,0.21223783226167203,0.45305514157973176
1,^VIX,60,671,-0.02454310123218566,0.26939696479504943,0.4083457526080477
2,CL=F,1,533,0.001123374903104099,0.023431135790752892,0.5534709193245778
2,CL=F,5,534,0.006300431367522969,0.050992079850399975,0.5617977528089888
2,CL=F,20,530,0.018946704137820982,0.09507865787617527,0.6150943396226415
2,CL=F,60,527,0.06393376690303584,0.18038534709928875,0.6489563567362429
2,GC=F,1,532,0.0004598206882622364,0.008925744359331994,0.5281954887218046
2,GC=F,5,533,0.002938587128487669,0.019711165127007723,0.549718574108818
2,GC=F,20,529,0.012781424802866499,0.03924774609908991,0.6162570888468809
2,GC=F,60,526,0.024941264434687103,0.06600412083911042,0.7034220532319392
2,GLD,1,533,0.00033730554179877786,0.008904339433037398,0.5403377110694184
2,GLD,5,534,0.0028290301016992018,0.01941624233236988,0.5543071161048689
2,GLD,20,530,0.012491438572849298,0.03915037501815923,0.6037735849056604
2,GLD,60,528,0.02354690896920686,0.06627331797296937,0.7007575757575758
2,HG=F,1,532,0.0006450346184002094,0.012268008951469869,0.5338345864661654
2,HG=F,5,533,0.0026047050108311143,0.02673534753632124,0.5403377110694184
2,HG=F,20,529,0.00860162251362773,0.052907521894684846,0.5746691871455577
2,HG=F,60,526,0.03380461207132465,0.081588290397615,0.655893536121673
2,PA=F,1,528,0.0012946637693686351,0.01717013522466668,0.5378787878787878
2,PA=F,5,530,0.006424749945162484,0.04130112236977659,0.5735849056603773
2,PA=F,20,526,0.023229450178665092,0.07825140082439395,0.6482889733840305
2,PA=F,60,523,0.06985498227766421,0.0956444128517132,0.7820267686424475
