release_date,release_time_et,release_type,reference_period,notes
2026-01-13,08:30,CPI,2025-12,
2026-02-11,08:30,EMPSIT,2026-01,
2026-02-13,08:30,CPI,2026-01,
2026-03-06,08:30,EMPSIT,2026-02,
2026-03-11,08:30,CPI,2026-02,
2026-04-03,08:30,EMPSIT,2026-03,
2026-04-10,08:30,CPI,2026-03,
2026-05-08,08:30,EMPSIT,2026-04,
2026-05-12,08:30,CPI,2026-04,
2026-06-05,08:30,EMPSIT,2026-05,
2026-06-10,08:30,CPI,2026-05,
2026-07-02,08:30,EMPSIT,2026-06,
2026-07-14,08:30,CPI,2026-06,
2026-08-07,08:30,EMPSIT,2026-07,
2026-08-12,08:30,CPI,2026-07,
2026-09-04,08:30,EMPSIT,2026-08,
2026-09-11,08:30,CPI,2026-08,
2026-10-02,08:30,EMPSIT,2026-09,
2026-10-14,08:30,CPI,2026-09,
2026-11-06,08:30,EMPSIT,2026-10,
2026-11-10,08:30,CPI,2026-10,
2026-12-04,08:30,EMPSIT,2026-11,
2026-12-10,08:30,CPI,2026-11,
